id,date,year,month,day
10248,1996-07-04,1996,7,4
10249,1996-07-05,1996,7,5
10250,1996-07-08,1996,7,8
10251,1996-07-08,1996,7,8
10252,1996-07-09,1996,7,9
10253,1996-07-10,1996,7,10
10254,1996-07-11,1996,7,11
10255,1996-07-12,1996,7,12
10256,1996-07-15,1996,7,15
10257,1996-07-16,1996,7,16
10258,1996-07-17,1996,7,17
10259,1996-07-18,1996,7,18
10260,1996-07-19,1996,7,19
10261,1996-07-19,1996,7,19
10262,1996-07-22,1996,7,22
10263,1996-07-23,1996,7,23
10264,1996-07-24,1996,7,24
10265,1996-07-25,1996,7,25
10266,1996-07-26,1996,7,26
10267,1996-07-29,1996,7,29
10268,1996-07-30,1996,7,30
10269,1996-07-31,1996,7,31
10270,1996-08-01,1996,8,1
10271,1996-08-01,1996,8,1
10272,1996-08-02,1996,8,2
10273,1996-08-05,1996,8,5
10274,1996-08-06,1996,8,6
10275,1996-08-07,1996,8,7
10276,1996-08-08,1996,8,8
10277,1996-08-09,1996,8,9
10278,1996-08-12,1996,8,12
10279,1996-08-13,1996,8,13
10280,1996-08-14,1996,8,14
10281,1996-08-14,1996,8,14
10282,1996-08-15,1996,8,15
10283,1996-08-16,1996,8,16
10284,1996-08-19,1996,8,19
10285,1996-08-20,1996,8,20
10286,1996-08-21,1996,8,21
10287,1996-08-22,1996,8,22
10288,1996-08-23,1996,8,23
10289,1996-08-26,1996,8,26
10290,1996-08-27,1996,8,27
10291,1996-08-27,1996,8,27
10292,1996-08-28,1996,8,28
10293,1996-08-29,1996,8,29
10294,1996-08-30,1996,8,30
10295,1996-09-02,1996,9,2
10296,1996-09-03,1996,9,3
10297,1996-09-04,1996,9,4
10298,1996-09-05,1996,9,5
10299,1996-09-06,1996,9,6
10300,1996-09-09,1996,9,9
10301,1996-09-09,1996,9,9
10302,1996-09-10,1996,9,10
10303,1996-09-11,1996,9,11
10304,1996-09-12,1996,9,12
10305,1996-09-13,1996,9,13
10306,1996-09-16,1996,9,16
10307,1996-09-17,1996,9,17
10308,1996-09-18,1996,9,18
10309,1996-09-19,1996,9,19
10310,1996-09-20,1996,9,20
10311,1996-09-20,1996,9,20
10312,1996-09-23,1996,9,23
10313,1996-09-24,1996,9,24
