id,date,date_plus_one_day
10248,1996-07-04,1996-07-05
10249,1996-07-05,1996-07-06
10250,1996-07-08,1996-07-09
10251,1996-07-08,1996-07-09
10252,1996-07-09,1996-07-10
10253,1996-07-10,1996-07-11
10254,1996-07-11,1996-07-12
10255,1996-07-12,1996-07-13
10256,1996-07-15,1996-07-16
10257,1996-07-16,1996-07-17
10258,1996-07-17,1996-07-18
10259,1996-07-18,1996-07-19
10260,1996-07-19,1996-07-20
10261,1996-07-19,1996-07-20
10262,1996-07-22,1996-07-23
10263,1996-07-23,1996-07-24
10264,1996-07-24,1996-07-25
10265,1996-07-25,1996-07-26
10266,1996-07-26,1996-07-27
10267,1996-07-29,1996-07-30
10268,1996-07-30,1996-07-31
10269,1996-07-31,1996-08-01
10270,1996-08-01,1996-08-02
10271,1996-08-01,1996-08-02
10272,1996-08-02,1996-08-03
10273,1996-08-05,1996-08-06
10274,1996-08-06,1996-08-07
10275,1996-08-07,1996-08-08
10276,1996-08-08,1996-08-09
10277,1996-08-09,1996-08-10
10278,1996-08-12,1996-08-13
10279,1996-08-13,1996-08-14
10280,1996-08-14,1996-08-15
10281,1996-08-14,1996-08-15
10282,1996-08-15,1996-08-16
10283,1996-08-16,1996-08-17
10284,1996-08-19,1996-08-20
10285,1996-08-20,1996-08-21
10286,1996-08-21,1996-08-22
10287,1996-08-22,1996-08-23
10288,1996-08-23,1996-08-24
10289,1996-08-26,1996-08-27
10290,1996-08-27,1996-08-28
10291,1996-08-27,1996-08-28
10292,1996-08-28,1996-08-29
10293,1996-08-29,1996-08-30
10294,1996-08-30,1996-08-31
10295,1996-09-02,1996-09-03
10296,1996-09-03,1996-09-04
10297,1996-09-04,1996-09-05
10298,1996-09-05,1996-09-06
10299,1996-09-06,1996-09-07
10300,1996-09-09,1996-09-10
10301,1996-09-09,1996-09-10
10302,1996-09-10,1996-09-11
10303,1996-09-11,1996-09-12
10304,1996-09-12,1996-09-13
10305,1996-09-13,1996-09-14
10306,1996-09-16,1996-09-17
10307,1996-09-17,1996-09-18
10308,1996-09-18,1996-09-19
10309,1996-09-19,1996-09-20
10310,1996-09-20,1996-09-21
10311,1996-09-20,1996-09-21
10312,1996-09-23,1996-09-24
10313,1996-09-24,1996-09-25
10314,1996-09-25,1996-09-26
10315,1996-09-26,1996-09-27
10316,1996-09-27,1996-09-28
10317,1996-09-30,1996-10-01
10318,1996-10-01,1996-10-02
10319,1996-10-02,1996-10-03
10320,1996-10-03,1996-10-04
10321,1996-10-03,1996-10-04
10322,1996-10-04,1996-10-05
10323,1996-10-07,1996-10-08
10324,1996-10-08,1996-10-09
10325,1996-10-09,1996-10-10
10326,1996-10-10,1996-10-11
10327,1996-10-11,1996-10-12
10328,1996-10-14,1996-10-15
10329,1996-10-15,1996-10-16
10330,1996-10-16,1996-10-17
10331,1996-10-16,1996-10-17
10332,1996-10-17,1996-10-18
10333,1996-10-18,1996-10-19
10334,1996-10-21,1996-10-22
10335,1996-10-22,1996-10-23
10336,1996-10-23,1996-10-24
10337,1996-10-24,1996-10-25
10338,1996-10-25,1996-10-26
10339,1996-10-28,1996-10-29
10340,1996-10-29,1996-10-30
10341,1996-10-29,1996-10-30
10342,1996-10-30,1996-10-31
10343,1996-10-31,1996-11-01
10344,1996-11-01,1996-11-02
10345,1996-11-04,1996-11-05
10346,1996-11-05,1996-11-06
10347,1996-11-06,1996-11-07
10348,1996-11-07,1996-11-08
10349,1996-11-08,1996-11-09
10350,1996-11-11,1996-11-12
10351,1996-11-11,1996-11-12
10352,1996-11-12,1996-11-13
10353,1996-11-13,1996-11-14
10354,1996-11-14,1996-11-15
10355,1996-11-15,1996-11-16
10356,1996-11-18,1996-11-19
10357,1996-11-19,1996-11-20
10358,1996-11-20,1996-11-21
10359,1996-11-21,1996-11-22
10360,1996-11-22,1996-11-23
10361,1996-11-22,1996-11-23
10362,1996-11-25,1996-11-26
10363,1996-11-26,1996-11-27
10364,1996-11-26,1996-11-27
10365,1996-11-27,1996-11-28
10366,1996-11-28,1996-11-29
10367,1996-11-28,1996-11-29
10368,1996-11-29,1996-11-30
10369,1996-12-02,1996-12-03
10370,1996-12-03,1996-12-04
10371,1996-12-03,1996-12-04
10372,1996-12-04,1996-12-05
10373,1996-12-05,1996-12-06
10374,1996-12-05,1996-12-06
10375,1996-12-06,1996-12-07
10376,1996-12-09,1996-12-10
10377,1996-12-09,1996-12-10
10378,1996-12-10,1996-12-11
10379,1996-12-11,1996-12-12
10380,1996-12-12,1996-12-13
10381,1996-12-12,1996-12-13
10382,1996-12-13,1996-12-14
10383,1996-12-16,1996-12-17
10384,1996-12-16,1996-12-17
10385,1996-12-17,1996-12-18
10386,1996-12-18,1996-12-19
10387,1996-12-18,1996-12-19
