id,date,json_file
10248,1996-07-04,"{"id": 10248, "date": "1996-07-04"}"
10249,1996-07-05,"{"id": 10249, "date": "1996-07-05"}"
10250,1996-07-08,"{"id": 10250, "date": "1996-07-08"}"
10251,1996-07-08,"{"id": 10251, "date": "1996-07-08"}"
10252,1996-07-09,"{"id": 10252, "date": "1996-07-09"}"
10253,1996-07-10,"{"id": 10253, "date": "1996-07-10"}"
10254,1996-07-11,"{"id": 10254, "date": "1996-07-11"}"
10255,1996-07-12,"{"id": 10255, "date": "1996-07-12"}"
10256,1996-07-15,"{"id": 10256, "date": "1996-07-15"}"
10257,1996-07-16,"{"id": 10257, "date": "1996-07-16"}"
10258,1996-07-17,"{"id": 10258, "date": "1996-07-17"}"
10259,1996-07-18,"{"id": 10259, "date": "1996-07-18"}"
10260,1996-07-19,"{"id": 10260, "date": "1996-07-19"}"
10261,1996-07-19,"{"id": 10261, "date": "1996-07-19"}"
10262,1996-07-22,"{"id": 10262, "date": "1996-07-22"}"
10263,1996-07-23,"{"id": 10263, "date": "1996-07-23"}"
10264,1996-07-24,"{"id": 10264, "date": "1996-07-24"}"
10265,1996-07-25,"{"id": 10265, "date": "1996-07-25"}"
10266,1996-07-26,"{"id": 10266, "date": "1996-07-26"}"
10267,1996-07-29,"{"id": 10267, "date": "1996-07-29"}"
10268,1996-07-30,"{"id": 10268, "date": "1996-07-30"}"
10269,1996-07-31,"{"id": 10269, "date": "1996-07-31"}"
10270,1996-08-01,"{"id": 10270, "date": "1996-08-01"}"
10271,1996-08-01,"{"id": 10271, "date": "1996-08-01"}"
10272,1996-08-02,"{"id": 10272, "date": "1996-08-02"}"
10273,1996-08-05,"{"id": 10273, "date": "1996-08-05"}"
10274,1996-08-06,"{"id": 10274, "date": "1996-08-06"}"
10275,1996-08-07,"{"id": 10275, "date": "1996-08-07"}"
10276,1996-08-08,"{"id": 10276, "date": "1996-08-08"}"
10277,1996-08-09,"{"id": 10277, "date": "1996-08-09"}"
10278,1996-08-12,"{"id": 10278, "date": "1996-08-12"}"
10279,1996-08-13,"{"id": 10279, "date": "1996-08-13"}"
10280,1996-08-14,"{"id": 10280, "date": "1996-08-14"}"
10281,1996-08-14,"{"id": 10281, "date": "1996-08-14"}"
10282,1996-08-15,"{"id": 10282, "date": "1996-08-15"}"
10283,1996-08-16,"{"id": 10283, "date": "1996-08-16"}"
10284,1996-08-19,"{"id": 10284, "date": "1996-08-19"}"
10285,1996-08-20,"{"id": 10285, "date": "1996-08-20"}"
10286,1996-08-21,"{"id": 10286, "date": "1996-08-21"}"
10287,1996-08-22,"{"id": 10287, "date": "1996-08-22"}"
10288,1996-08-23,"{"id": 10288, "date": "1996-08-23"}"
10289,1996-08-26,"{"id": 10289, "date": "1996-08-26"}"
10290,1996-08-27,"{"id": 10290, "date": "1996-08-27"}"
10291,1996-08-27,"{"id": 10291, "date": "1996-08-27"}"
10292,1996-08-28,"{"id": 10292, "date": "1996-08-28"}"
10293,1996-08-29,"{"id": 10293, "date": "1996-08-29"}"
10294,1996-08-30,"{"id": 10294, "date": "1996-08-30"}"
10295,1996-09-02,"{"id": 10295, "date": "1996-09-02"}"
10296,1996-09-03,"{"id": 10296, "date": "1996-09-03"}"
10297,1996-09-04,"{"id": 10297, "date": "1996-09-04"}"
10298,1996-09-05,"{"id": 10298, "date": "1996-09-05"}"
10299,1996-09-06,"{"id": 10299, "date": "1996-09-06"}"
10300,1996-09-09,"{"id": 10300, "date": "1996-09-09"}"
10301,1996-09-09,"{"id": 10301, "date": "1996-09-09"}"
10302,1996-09-10,"{"id": 10302, "date": "1996-09-10"}"
10303,1996-09-11,"{"id": 10303, "date": "1996-09-11"}"
10304,1996-09-12,"{"id": 10304, "date": "1996-09-12"}"
10305,1996-09-13,"{"id": 10305, "date": "1996-09-13"}"
10306,1996-09-16,"{"id": 10306, "date": "1996-09-16"}"
10307,1996-09-17,"{"id": 10307, "date": "1996-09-17"}"
10308,1996-09-18,"{"id": 10308, "date": "1996-09-18"}"
10309,1996-09-19,"{"id": 10309, "date": "1996-09-19"}"
10310,1996-09-20,"{"id": 10310, "date": "1996-09-20"}"
10311,1996-09-20,"{"id": 10311, "date": "1996-09-20"}"
10312,1996-09-23,"{"id": 10312, "date": "1996-09-23"}"
10313,1996-09-24,"{"id": 10313, "date": "1996-09-24"}"
10314,1996-09-25,"{"id": 10314, "date": "1996-09-25"}"
10315,1996-09-26,"{"id": 10315, "date": "1996-09-26"}"
10316,1996-09-27,"{"id": 10316, "date": "1996-09-27"}"
10317,1996-09-30,"{"id": 10317, "date": "1996-09-30"}"
10318,1996-10-01,"{"id": 10318, "date": "1996-10-01"}"
10319,1996-10-02,"{"id": 10319, "date": "1996-10-02"}"
10320,1996-10-03,"{"id": 10320, "date": "1996-10-03"}"
10321,1996-10-03,"{"id": 10321, "date": "1996-10-03"}"
10322,1996-10-04,"{"id": 10322, "date": "1996-10-04"}"
10323,1996-10-07,"{"id": 10323, "date": "1996-10-07"}"
10324,1996-10-08,"{"id": 10324, "date": "1996-10-08"}"
10325,1996-10-09,"{"id": 10325, "date": "1996-10-09"}"
10326,1996-10-10,"{"id": 10326, "date": "1996-10-10"}"
10327,1996-10-11,"{"id": 10327, "date": "1996-10-11"}"
10328,1996-10-14,"{"id": 10328, "date": "1996-10-14"}"
10329,1996-10-15,"{"id": 10329, "date": "1996-10-15"}"
10330,1996-10-16,"{"id": 10330, "date": "1996-10-16"}"
10331,1996-10-16,"{"id": 10331, "date": "1996-10-16"}"
10332,1996-10-17,"{"id": 10332, "date": "1996-10-17"}"
10333,1996-10-18,"{"id": 10333, "date": "1996-10-18"}"
10334,1996-10-21,"{"id": 10334, "date": "1996-10-21"}"
10335,1996-10-22,"{"id": 10335, "date": "1996-10-22"}"
10336,1996-10-23,"{"id": 10336, "date": "1996-10-23"}"
10337,1996-10-24,"{"id": 10337, "date": "1996-10-24"}"
10338,1996-10-25,"{"id": 10338, "date": "1996-10-25"}"
10339,1996-10-28,"{"id": 10339, "date": "1996-10-28"}"
10340,1996-10-29,"{"id": 10340, "date": "1996-10-29"}"
10341,1996-10-29,"{"id": 10341, "date": "1996-10-29"}"
10342,1996-10-30,"{"id": 10342, "date": "1996-10-30"}"
10343,1996-10-31,"{"id": 10343, "date": "1996-10-31"}"
10344,1996-11-01,"{"id": 10344, "date": "1996-11-01"}"
10345,1996-11-04,"{"id": 10345, "date": "1996-11-04"}"
10346,1996-11-05,"{"id": 10346, "date": "1996-11-05"}"
10347,1996-11-06,"{"id": 10347, "date": "1996-11-06"}"
10348,1996-11-07,"{"id": 10348, "date": "1996-11-07"}"
10349,1996-11-08,"{"id": 10349, "date": "1996-11-08"}"
10350,1996-11-11,"{"id": 10350, "date": "1996-11-11"}"
10351,1996-11-11,"{"id": 10351, "date": "1996-11-11"}"
10352,1996-11-12,"{"id": 10352, "date": "1996-11-12"}"
10353,1996-11-13,"{"id": 10353, "date": "1996-11-13"}"
10354,1996-11-14,"{"id": 10354, "date": "1996-11-14"}"
10355,1996-11-15,"{"id": 10355, "date": "1996-11-15"}"
10356,1996-11-18,"{"id": 10356, "date": "1996-11-18"}"
10357,1996-11-19,"{"id": 10357, "date": "1996-11-19"}"
10358,1996-11-20,"{"id": 10358, "date": "1996-11-20"}"
10359,1996-11-21,"{"id": 10359, "date": "1996-11-21"}"
10360,1996-11-22,"{"id": 10360, "date": "1996-11-22"}"
10361,1996-11-22,"{"id": 10361, "date": "1996-11-22"}"
10362,1996-11-25,"{"id": 10362, "date": "1996-11-25"}"
10363,1996-11-26,"{"id": 10363, "date": "1996-11-26"}"
10364,1996-11-26,"{"id": 10364, "date": "1996-11-26"}"
10365,1996-11-27,"{"id": 10365, "date": "1996-11-27"}"
10366,1996-11-28,"{"id": 10366, "date": "1996-11-28"}"
10367,1996-11-28,"{"id": 10367, "date": "1996-11-28"}"
10368,1996-11-29,"{"id": 10368, "date": "1996-11-29"}"
10369,1996-12-02,"{"id": 10369, "date": "1996-12-02"}"
10370,1996-12-03,"{"id": 10370, "date": "1996-12-03"}"
10371,1996-12-03,"{"id": 10371, "date": "1996-12-03"}"
10372,1996-12-04,"{"id": 10372, "date": "1996-12-04"}"
10373,1996-12-05,"{"id": 10373, "date": "1996-12-05"}"
10374,1996-12-05,"{"id": 10374, "date": "1996-12-05"}"
10375,1996-12-06,"{"id": 10375, "date": "1996-12-06"}"
10376,1996-12-09,"{"id": 10376, "date": "1996-12-09"}"
10377,1996-12-09,"{"id": 10377, "date": "1996-12-09"}"
10378,1996-12-10,"{"id": 10378, "date": "1996-12-10"}"
10379,1996-12-11,"{"id": 10379, "date": "1996-12-11"}"
10380,1996-12-12,"{"id": 10380, "date": "1996-12-12"}"
10381,1996-12-12,"{"id": 10381, "date": "1996-12-12"}"
10382,1996-12-13,"{"id": 10382, "date": "1996-12-13"}"
10383,1996-12-16,"{"id": 10383, "date": "1996-12-16"}"
10384,1996-12-16,"{"id": 10384, "date": "1996-12-16"}"
10385,1996-12-17,"{"id": 10385, "date": "1996-12-17"}"
10386,1996-12-18,"{"id": 10386, "date": "1996-12-18"}"
10387,1996-12-18,"{"id": 10387, "date": "1996-12-18"}"
10388,1996-12-19,"{"id": 10388, "date": "1996-12-19"}"
10389,1996-12-20,"{"id": 10389, "date": "1996-12-20"}"
10390,1996-12-23,"{"id": 10390, "date": "1996-12-23"}"
10391,1996-12-23,"{"id": 10391, "date": "1996-12-23"}"
10392,1996-12-24,"{"id": 10392, "date": "1996-12-24"}"
10393,1996-12-25,"{"id": 10393, "date": "1996-12-25"}"
10394,1996-12-25,"{"id": 10394, "date": "1996-12-25"}"
10395,1996-12-26,"{"id": 10395, "date": "1996-12-26"}"
10396,1996-12-27,"{"id": 10396, "date": "1996-12-27"}"
10397,1996-12-27,"{"id": 10397, "date": "1996-12-27"}"
10398,1996-12-30,"{"id": 10398, "date": "1996-12-30"}"
10399,1996-12-31,"{"id": 10399, "date": "1996-12-31"}"
10400,1997-01-01,"{"id": 10400, "date": "1997-01-01"}"
10401,1997-01-01,"{"id": 10401, "date": "1997-01-01"}"
10402,1997-01-02,"{"id": 10402, "date": "1997-01-02"}"
10403,1997-01-03,"{"id": 10403, "date": "1997-01-03"}"
10404,1997-01-03,"{"id": 10404, "date": "1997-01-03"}"
10405,1997-01-06,"{"id": 10405, "date": "1997-01-06"}"
10406,1997-01-07,"{"id": 10406, "date": "1997-01-07"}"
10407,1997-01-07,"{"id": 10407, "date": "1997-01-07"}"
10408,1997-01-08,"{"id": 10408, "date": "1997-01-08"}"
10409,1997-01-09,"{"id": 10409, "date": "1997-01-09"}"
10410,1997-01-10,"{"id": 10410, "date": "1997-01-10"}"
10411,1997-01-10,"{"id": 10411, "date": "1997-01-10"}"
10412,1997-01-13,"{"id": 10412, "date": "1997-01-13"}"
10413,1997-01-14,"{"id": 10413, "date": "1997-01-14"}"
10414,1997-01-14,"{"id": 10414, "date": "1997-01-14"}"
10415,1997-01-15,"{"id": 10415, "date": "1997-01-15"}"
10416,1997-01-16,"{"id": 10416, "date": "1997-01-16"}"
10417,1997-01-16,"{"id": 10417, "date": "1997-01-16"}"
10418,1997-01-17,"{"id": 10418, "date": "1997-01-17"}"
10419,1997-01-20,"{"id": 10419, "date": "1997-01-20"}"
10420,1997-01-21,"{"id": 10420, "date": "1997-01-21"}"
10421,1997-01-21,"{"id": 10421, "date": "1997-01-21"}"
10422,1997-01-22,"{"id": 10422, "date": "1997-01-22"}"
10423,1997-01-23,"{"id": 10423, "date": "1997-01-23"}"
10424,1997-01-23,"{"id": 10424, "date": "1997-01-23"}"
10425,1997-01-24,"{"id": 10425, "date": "1997-01-24"}"
10426,1997-01-27,"{"id": 10426, "date": "1997-01-27"}"
10427,1997-01-27,"{"id": 10427, "date": "1997-01-27"}"
10428,1997-01-28,"{"id": 10428, "date": "1997-01-28"}"
10429,1997-01-29,"{"id": 10429, "date": "1997-01-29"}"
10430,1997-01-30,"{"id": 10430, "date": "1997-01-30"}"
